"nanyangSiteId","siteNameZh","siteNameAlt1","LATITUDE","LONGITUDE"
"tt-mb-d100A13","台北市聖靈寺","Taipei Sheng Ling Si",25.017958,121.527533
"tt-mb-d100A21","華嚴蓮社","Huayen Lotus Society",25.040319,121.530767
"tt-mb-d100A31","淨土宗善導寺","Jing Tu Zong Shan Dao Si",25.044908,121.52426
"tt-mb-d100A40","台北市佛教會","The Buddhist Association of Taipei",25.045048,121.525169
"tt-mb-d100A51","東和禪寺","Dong He Chan Si",25.039045,121.521758
"tt-mb-d100A62","寶藏巖","Bao Cang Yan",25.010484,121.533212
"tt-mb-d100A81","十普寺","Shi Pu Si",25.025247,121.522554
"tt-mb-d100A92","光華寺","Guang Hua Si",25.023949,121.515312
"tt-mb-d100B01","通法寺","Tong Fa Si",25.026078,121.516809
"tt-mb-d100B10","寶纈堂","Bao Xie Tang",25.023878,121.517781
"tt-mb-d100B20","蓮雲禪苑","Lian Yun Chan Yuan",25.03446,121.529749
"tt-mb-d100B30","創見堂人生禪學會","Chuang Jian Tang Ren Sheng Chan Xue Hui",25.045997,121.519131
"tt-mb-d100B40","靈山講堂","Ling Shan Jiang Tang",25.046015,121.519063
"tt-mb-d100B52","大乘精舍","Da Sheng Jing She",25.045238,121.509972
"tt-mb-d100B60","佛陀教育基金會","The Corporate Body of the Buddha Educational Foundation",25.040538,121.525939
"tt-mb-d100B70","寧瑪巴喇榮三乘法林佛學會","Nyingma Larong Sancheng Falin Buddhist Institute",25.025204,121.518915
"tt-mb-d100B80","白馬精舍","Bai Ma Jing She",25.047085,121.519649
"tt-mb-d100B90","圓通講堂","Yuan Tong Jiang Tang",25.046787,121.513983
"tt-mb-d100C00","十方觀音佛堂","Shi Fang Guan Yin Fo Tang",25.043425,121.525902
"tt-mb-d100C10","佛燈會","Fo Deng Hui",25.045534,121.524838
"tt-mb-d100C20","大雄精舍","Da Xiong Jing She",25.033807,121.531957
