nanyangSiteId,siteNameZh,siteNameAlt1,latitude,longitude
js-mb-S001,聖天宮,Shengtian Gong,25.28861,121.54611
js-mb-S002,凌虛宮,Lingxu Gong,25.28944,121.54555
js-mb-S003,天后宮,Tianhou Gong,25.28944,121.54555
js-mb-S004,海得宮,Haide Gong,25.28972,121.54416
js-mb-S005,福恩宮,Fuen Gong,25.29021,121.54348
js-mb-S006,雪山玄武廟,Xueshan Xuanwu Miao,25.28532,121.54029
js-mb-S007,天主堂,Tianzhu Tang,25.28959,121.54447
js-mb-S008,五營,Wuying,25.28541,121.54012
js-mb-S009,土地公,Tudi Gong,25.26682,121.62792
js-mb-S010,萬應公,Wanying Gong,25.29119,121.56076
js-mb-S011,什姓堂,Shi Xing Tang,25.28796,121.54492
js-mb-S012,鎮海宮（包公廟）,Zhenhai Gong (Bao Gong Miao),25.28472,121.5375
js-mb-S013,五營房（包公廟前）,Wuying fang (Bao Gong Miao qian),25.28472,121.5375
js-mb-S014,楓林土地公,Fenglin Tudi Gong,25.28005,121.53772
js-mb-S015,土地公,Tudi Gong,25.27055,121.53833
js-mb-S016,土地公,Tudi Gong,25.2707,121.53629
js-mb-S017,富福頂山寺（貝殼廟）,Fufu Dingshan Si (Beike Miao),25.26998,121.53542
js-mb-S018,八甲福德宮,Bajia Fude Gong,25.27088,121.53434
js-mb-S019,有應公,Youying Gong,25.26777,121.54755
js-mb-S020,老梅福德宮,Laomei Fude Gong,25.28833,121.54704
js-mb-S021,聖明宮（千年神樹宮/山神福德宮 ）,Shengming Gong,25.27416,121.55361
js-mb-S022,地基公,Diji Gong,25.27551,121.54617
js-mb-S023,石門情人廟,Shimen Qingren Miao,25.28116,121.53995
js-mb-S024,石門金剛宫,Shimen Jingang Gong,25.28722,121.53305
js-mb-S025,崁子脚福德正神宫,Kanzijiao Fudezhengshen Gong,25.28777,121.5325
js-mb-S026,石門聖合宮,Shimen Shenghe Gong,25.28737,121.53141
js-mb-S027,無名觀音像,Wuming Guanyinxiang,25.28754,121.53163
js-mb-S028,白沙灣福德宮,Baishawan Fude Gong,25.28329,121.52092
js-mb-S029,北海宮（保生大帝）,Baoshengdadi Beihai Gong,25.28333,121.52027
js-mb-S030,觀航寺,Guanhang Si,25.28277,121.51972
js-mb-S031,福德宮（麟山鼻土地公）,Linshanbi Fude Gong,25.28467,121.51153
js-mb-S032,石門紫雲巖,Shimen Ziyunyan,25.28833,121.5375
js-mb-S033,萬善堂,Wanshan Tang,25.29003,121.54441
js-mb-S034,福德宮,Fude Gong,25.27277,121.51833
js-mb-S035,德茂村福德宮,Demaocun Fude Gong,25.27281,121.52189
js-mb-S036,石門三清宮,Shimen Sanqing Gong,25.27083,121.52611
js-mb-S037,石門保生大帝,Shimen Baoshengdadi,25.26851,121.53066
js-mb-S038,妙法寺,Miaofa Si,25.25,121.54833
